CODE1;X_COORD;Y_COORD;SITE;DESCRIPTIO;KIND;PERFECTURE;D_D
8;573739;3878130;ΠΟΛΗ ΦΑΙΣΤΟΥ;ΑΓΙΟΣ ΙΩΑΝΝΗΣ ΦΑΙΣΤΟΥ;Επισκέψιμος Αρχαιολογικός Χώρος;ΗΡΑΚΛΕΙΟΥ;ΤΥΜΠΑΚΙΟΥ
20;493143;3930300;ΑΓΙΑ ΜΑΡΙΝΑ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΑΓΙΑΣ ΜΑΡΙΝΑΣ;Επισκέψιμος Αρχαιολογικός Χώρος;ΧΑΝΙΩΝ;ΝΕΑΣ ΚΥΔΩΝΙΑΣ
21;466867;3929730;ΣΕΛΛΙ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΣΕΛΛΙΟΥ;Επισκέψιμος Αρχαιολογικός Χώρος;ΧΑΝΙΩΝ;ΚΙΣΣΑΜΟΥ
22;506772;3894560;ΛΟΥΤΡΟ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΦΟΙΝΙΚΑ-ΛΟΥΤΡΟ;Επισκέψιμος Αρχαιολογικός Χώρος;ΧΑΝΙΩΝ;ΣΦΑΚΙΩΝ
23;479305;3931680;ΑΓΙΑ ΕΙΡΗΝΗ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΑΓΙΑΣ ΕΙΡΗΝΗΣ ΚΟΛΥΜΠΑΡΙΟΥ;Επισκέψιμος Αρχαιολογικός Χώρος;ΧΑΝΙΩΝ;ΚΟΛΥΜΠΑΡΙΟΥ
28;482192;3900190;ΣΟΥΓΙΑ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΣΥΙΑΣ-ΣΟΥΓΙΑ;Επισκέψιμος Αρχαιολογικός Χώρος;ΧΑΝΙΩΝ;ΑΝΑΤΟΛΙΚΟΥ ΣΕΛΙΝΟΥ
29;461386;3929860;ΦΑΛΑΣΑΡΝΑ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΦΑΛΑΣΑΡΝΑΣ;Επισκέψιμος Αρχαιολογικός Χώρος;ΧΑΝΙΩΝ;ΚΙΣΣΑΜΟΥ
33;460735;3929600;ΦΑΛΑΣΑΡΝΑ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΦΑΛΑΣΑΡΝΑΣ;Επισκέψιμος Αρχαιολογικός Χώρος;ΧΑΝΙΩΝ;ΚΙΣΣΑΜΟΥ
39;570104;3876510;ΚΑΛΑΜΑΚΙ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΚΑΛΑΜΑΚΙΟΥ;Επισκέψιμος Αρχαιολογικός Χώρος;ΗΡΑΚΛΕΙΟΥ;ΤΥΜΠΑΚΙΟΥ
40;573294;3877750;ΑΓΙΟΣ ΙΩΑΝΝΗΣ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΑΗ ΓΙΑΝΝΗ ΦΑΙΣΤΟΥ;Επισκέψιμος Αρχαιολογικός Χώρος;ΗΡΑΚΛΕΙΟΥ;ΤΥΜΠΑΚΙΟΥ
41;624789;3873680;ΚΕΡΑΤΟΚΑΜΠΟΣ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΚΑΣΤΡΙΟΥ-ΚΕΡΑΤΟΚΑΜΠΟΣ;Επισκέψιμος Αρχαιολογικός Χώρος;ΗΡΑΚΛΕΙΟΥ;ΒΙΑΝΝΟΥ
42;627855;3877020;ΚΑΒΟΥΣΙ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΚΑΒΟΥΣΙΟΥ;Επισκέψιμος Αρχαιολογικός Χώρος;ΗΡΑΚΛΕΙΟΥ;ΒΙΑΝΝΟΥ
43;627745;3876570;ΑΝΩ ΒΙΑΝΝΟΣ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΑΝΩ ΒΙΑΝΝΟΥ;Επισκέψιμος Αρχαιολογικός Χώρος;ΗΡΑΚΛΕΙΟΥ;ΒΙΑΝΝΟΥ
50;503747;3925870;ΝΕΡΟΚΟΥΡΟΣ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΝΕΡΟΚΟΥΡΟΥ;Επισκέψιμος Αρχαιολογικός Χώρος;ΧΑΝΙΩΝ;ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ
52;502521;3929210;ΧΑΝΙΑ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΑΡΧΑΙΑΣ ΚΥΔΩΝΙΑΣ ΧΑΝΙΩΝ-ΝΕΚΡΟΠΟΛΗ;Επισκέψιμος Αρχαιολογικός Χώρος;ΧΑΝΙΩΝ;ΧΑΝΙΩΝ
53;594738;3907270;ΜΑΡΑΘΟΚΕΦΑΛΑ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΜΑΡΑΘΟΚΕΦΑΛΑΣ;Επισκέψιμος Αρχαιολογικός Χώρος;ΗΡΑΚΛΕΙΟΥ;ΓΑΖΙΟΥ
54;592456;3918510;ΑΓΙΑ ΠΕΛΑΓΙΑ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΑΓΙΑΣ ΠΕΛΑΓΙΑΣ;Επισκέψιμος Αρχαιολογικός Χώρος;ΗΡΑΚΛΕΙΟΥ;ΓΑΖΙΟΥ
56;669195;3894920;ΨΕΙΡΑ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΨΕΙΡΑΣ;Επισκέψιμος Αρχαιολογικός Χώρος;ΛΑΣΙΘΙΟΥ;ΣΗΤΕΙΑΣ
58;673431;3895190;ΜΟΧΛΟΣ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΜΟΧΛΟΥ;Επισκέψιμος Αρχαιολογικός Χώρος;ΛΑΣΙΘΙΟΥ;ΣΗΤΕΙΑΣ
66;592410;3918550;ΑΓΙΑ ΠΕΛΑΓΙΑ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΑΓΙΑΣ ΠΕΛΑΓΙΑΣ;Επισκέψιμος Αρχαιολογικός Χώρος;ΗΡΑΚΛΕΙΟΥ;ΓΑΖΙΟΥ
79;480455;3899440;ΑΓΙΟΣ ΚΗΡΥΚΟΣ-ΛΙΣΣΟΣ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΛΙΣΣΟΥ;Επισκέψιμος Αρχαιολογικός Χώρος;ΧΑΝΙΩΝ;ΑΝΑΤΟΛΙΚΟΥ ΣΕΛΙΝΟΥ
84;657824;3902710;ΝΗΣΙ ΕΛΟΥΝΤΑΣ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΕΛΟΥΝΤΑΣ ΜΙΡΑΜΠΕΛΛΟΥ : ΑΡΧΑΙΑ ΠΟΛΗ ΟΛΟΥΣ;Επισκέψιμος Αρχαιολογικός Χώρος;ΛΑΣΙΘΙΟΥ;ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ
88;669554;3894880;ΨΕΙΡΑ;ΜΙΝΩΙΚΟΣ ΟΙΚΙΣΜΟΣ ΨΕΙΡΑΣ;Επισκέψιμος Αρχαιολογικός Χώρος;ΛΑΣΙΘΙΟΥ;ΣΗΤΕΙΑΣ
89;635313;3906740;ΜΑΛΙΑ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΜΑΛΙΩΝ;Επισκέψιμος Αρχαιολογικός Χώρος;ΗΡΑΚΛΕΙΟΥ;ΜΑΛΛΙΩΝ
93;655720;3886400;ΞΙΒΟΥΝΙ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΞΙΒΟΥΝΙΟΥ;Επισκέψιμος Αρχαιολογικός Χώρος;ΛΑΣΙΘΙΟΥ;ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ
95;605874;3906690;ΚΕΦΑΛΑ ΚΝΩΣΣΟΥ;ΑΡΧΑΙΟΛΟΓΙΚΟΣ ΧΩΡΟΣ ΚΝΩΣΣΟΥ;Επισκέψιμος Αρχαιολογικός Χώρος;ΗΡΑΚΛΕΙΟΥ;ΗΡΑΚΛΕΙΟΥ
