id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10182231,Family friedly apartment,50655909,Dimitris,,1лЩ лќлҐл_лБлЩл_лФл_лҐлЄлЩ,37.96371874,23.7414746,Entire home/apt,80,3,0,,,1,365
17802640,New 3Bdrm Apartment with Acropolis View in Athens,748818,George,,1лЩ лќлҐл_лБлЩл_лФл_лҐлЄлЩ,37.96164612,23.73575822,Entire home/apt,100,2,0,,,47,292
222637,Luxury 3-Bdrm Apartment with Acropolis view,748818,George,,1лЩ лќлҐл_лБлЩл_лФл_лҐлЄлЩ,37.96023901,23.73631269,Entire home/apt,147,2,103,4/13/17,1.7,47,242
1272844,Small hostel with garden in Mets,2717857,Katerina,,1лЩ лќлҐл_лБлЩл_лФл_лҐлЄлЩ,37.96470992,23.73929811,Entire home/apt,35,3,87,4/22/17,1.91,1,308
7326724,Cozy retro flat in Athens' heart!,3556722,Avra,,1лЩ лќлҐл_лБлЩл_лФл_лҐлЄлЩ,37.96429192,23.73555036,Entire home/apt,36,2,112,5/1/17,5.16,3,233
9834032,,50450791,лТл_мдмЃл_лАмв,,1лЩ лќлҐл_лБлЩл_лФл_лҐлЄлЩ,37.96352761,23.7401293,Entire home/apt,45,2,16,4/23/17,0.97,1,356
5246919,Acropolis - Athens - Panoramic view,27154620,Souzana,,1лЩ лќлҐл_лБлЩл_лФл_лҐлЄлЩ,37.96500607,23.73910601,Entire home/apt,35,2,43,5/2/17,1.69,1,254
13554349,"A Room of One's Own (Mets, Athens)",71096140,Irini,,1лЩ лќлҐл_лБлЩл_лФл_лҐлЄлЩ,37.96492552,23.74065612,Private room,20,2,36,1/17/17,3.39,1,55
13308906,Apartment with a gorgeous view,14165090,Laura,,1лЩ лќлҐл_лБлЩл_лФл_лҐлЄлЩ,37.96495636,23.74052653,Entire home/apt,47,2,17,5/1/17,1.51,1,342
16028956,Marvelous central & safe sleep 6 Sea View Parking,31676124,Evdokia,,1лЩ лќлҐл_лБлЩл_лФл_лҐлЄлЩ,37.9640692,23.74120689,Entire home/apt,134,2,1,12/31/16,0.23,1,155
12752770,Lovely Apartment With A Back Yard Garden,67190984,Paul,,1лЩ лќлҐл_лБлЩл_лФл_лҐлЄлЩ,37.96470793,23.74023564,Entire home/apt,25,20,0,,,1,156
4022613,"Charming apt in Mets, near Acropolis",6146372,Vanessa,,1лЩ лќлҐл_лБлЩл_лФл_лҐлЄлЩ,37.96473308,23.73795483,Entire home/apt,50,2,32,5/2/17,1.5,1,322
17163570,Amazing studio with Acropolis view!,17669053,Nik,,1лЩ лќлҐл_лБлЩл_лФл_лҐлЄлЩ,37.96420196,23.73879959,Entire home/apt,68,2,0,,,2,352
7235601,"Cozy flat,Great view, 2floor-3rooms",37877720,Chris,,1лЩ лќлҐл_лБлЩл_лФл_лҐлЄлЩ,37.96520996,23.74043674,Entire home/apt,130,7,6,11/10/15,0.27,2,35
8662275,Spacious room in lovely location,19367012,Eleonora,,1лЩ лќлҐл_лБлЩл_лФл_лҐлЄлЩ,37.9646521,23.73974094,Private room,26,2,21,2/9/17,1.58,1,37
14331261,feels like a local,43685882,Anastasia,,1лЩ лќлҐл_лБлЩл_лФл_лҐлЄлЩ,37.96107196,23.73845867,Entire home/apt,37,1,5,10/6/16,0.56,1,326
12627997,Acropolis majestic view cozy studio,35941856,Spyros & Nadia,,1лЩ лќлҐл_лБлЩл_лФл_лҐлЄлЩ,37.96496344,23.73650257,Entire home/apt,48,2,77,5/6/17,6.24,2,283
12120388,"Acropolis view-Sunny,55m2 apartment",65022166,Vaios,,1лЩ лќлҐл_лБлЩл_лФл_лҐлЄлЩ,37.96137273,23.73570584,Entire home/apt,45,3,30,5/3/17,2.27,1,70
2423058,Traditional island house in center,12384703,Maja,,1лЩ лќлҐл_лБлЩл_лФл_лҐлЄлЩ,37.96515909,23.74048297,Entire home/apt,25,2,97,5/5/17,2.55,1,266
6762539,Breathtaking Acropolis Sunset View!,35397118,Vana,,1лЩ лќлҐл_лБлЩл_лФл_лҐлЄлЩ,37.96546812,23.73892585,Entire home/apt,48,2,0,,,1,122
